weight,max_displacement,feasible,rank,crowding_distance,used_CR,used_F,variables
1203.79,4.06877,true,1,inf,0.373959,0.599617,0;0;11;0;5;23;0;2;4;0
1208.88,4.06608,true,1,0.00366129,0.377721,0.62014,0;0;12;0;6;23;0;2;4;0
1209.19,4.05684,true,1,0.0252535,0.365994,0.558432,0;0;11;0;5;24;0;2;4;0
1220.3,3.97512,true,1,0.0354457,0.407444,0.696688,0;0;17;2;2;23;0;0;8;0
1220.97,3.92775,true,1,0.0252163,0.37691,0.44892,0;0;11;0;6;24;0;3;4;0
1226.88,3.88269,true,1,0.0161417,0.283693,0.655356,0;0;12;0;6;23;0;2;6;0
1232.28,3.87096,true,1,0.0417633,0.402537,0.15272,0;0;12;0;6;24;0;2;6;0
1241.85,3.73096,true,1,0.041068,0.242242,0.535347,0;0;12;0;5;22;0;2;8;0
1248.48,3.72225,true,1,0.0074426,0.511883,0.578372,0;0;12;0;6;23;0;2;8;0
1249.99,3.70575,true,1,0.00498395,0.278573,0.58213,0;0;14;0;5;22;0;2;8;0
1253.18,3.70512,true,1,0.0185935,0.457915,0.400244,0;0;11;0;5;23;0;4;6;0
1266.69,3.64156,true,1,0.0236891,0.469883,0.589751,0;0;14;0;4;23;0;3;9;0
1267.52,3.62101,true,1,0.0176921,0.257755,0.713177,0;0;12;0;5;22;0;3;10;0
1278.9,3.57925,true,1,0.0156345,0.474662,0.568581,0;0;14;0;5;23;0;3;9;0
1283.73,3.56776,true,1,0.00812945,0.276129,0.660801,0;0;19;0;4;23;0;4;6;0
1285.45,3.55093,true,1,0.00732476,0.552759,0.675846,0;0;18;0;3;22;0;2;11;0
1289,3.53742,true,1,0.00856117,0.284058,0.494958,0;0;12;0;7;23;0;4;7;0
1295.15,3.51243,true,1,0.0124801,0.249902,0.834698,0;0;12;0;8;23;0;4;8;0
1301.64,3.49348,true,1,0.00666496,0.293636,0.585517,0;0;13;0;9;23;0;3;10;0
1307.75,3.49163,true,1,0.0042941,0.471747,0.613785,0;0;14;0;10;23;0;3;10;0
1309.76,3.48008,true,1,0.0071048,0.284409,0.180959,0;0;16;0;7;24;0;3;9;0
1309.87,3.46568,true,1,0.00666422,0.434838,0.639418,0;0;11;0;11;23;0;4;7;0
1312.27,3.45591,true,1,0.00574575,0.546196,0.53398,0;0;11;0;10;23;0;4;9;0
1314.43,3.44564,true,1,0.00397842,0.274602,0.288733,0;0;11;0;9;23;0;5;7;0
1320.42,3.42487,true,1,0.0068458,0.372937,0.566649,0;0;14;0;6;23;0;4;11;0
1329.16,3.42081,true,1,0.00470747,0.222602,0.56697,0;1;13;0;9;22;0;3;12;0
1329.73,3.40953,true,1,0.0145719,0.33334,0.662601,0;0;19;0;8;23;0;4;7;0
1331.29,3.36684,true,1,0.0154968,0.266063,0.445574,0;0;20;0;5;23;0;4;8;0
1341.31,3.35524,true,1,0.0120382,0.388973,0.604098,0;0;13;0;7;23;0;4;13;0
1345.96,3.32452,true,1,0.00520518,0.218928,0.648933,0;0;19;0;8;22;0;3;12;0
1349.9,3.3099,true,1,0.00663608,0.406359,0.639804,0;0;23;1;3;22;0;3;12;0
1352.47,3.30179,true,1,0.00463581,0.323757,0.568537,0;0;14;0;7;23;0;5;11;0
