weight,max_displacement,feasible,rank,crowding_distance,used_CR,used_F,variables
182.713,1.58572,true,1,inf,0.385786,0.664364,0;0;0;2;1;1;3;6
184.835,1.53166,true,1,0.069362,0.365536,0.52191,0;0;0;3;1;1;3;6
186.956,1.49904,true,1,0.0548525,0.242728,0.601934,0;0;0;4;1;1;3;6
186.956,1.46125,true,1,0.0298437,0.408291,0.574148,0;0;0;3;2;1;3;6
188.456,1.46125,true,1,0.00168684,0.223716,0.687632,2;0;0;3;2;1;3;6
188.456,1.46125,true,1,0.0272229,0.298102,0.724617,1;0;1;3;2;1;3;6
189.077,1.42565,true,1,0.0534863,0.349598,0.758878,0;0;0;3;3;1;3;6
191.198,1.3936,true,1,0.0279503,0.420119,0.474324,0;0;0;4;3;1;3;6
192.698,1.3936,true,1,0.00945568,0.349283,0.865377,2;0;0;4;3;1;3;6
193.32,1.37216,true,1,0.0131321,0.05,0.67579,0;0;0;5;3;1;3;6
193.797,1.36814,true,1,0.0125139,0.37247,0.62433,0;0;0;4;3;2;3;6
195.441,1.3568,true,1,0.0207478,0.310294,0.670278,0;0;0;6;3;1;3;6
197.562,1.34526,true,1,0.0225131,0.463171,0.234569,0;0;0;7;3;1;3;6
198.039,1.32945,true,1,0.00452193,0.0802745,0.555059,0;0;0;6;3;2;3;6
198.516,1.32588,true,1,0.0151163,0.236415,0.508032,0;0;0;5;3;3;3;6
200.161,1.31236,true,1,0.0148707,0.386036,0.611833,0;0;0;5;5;2;3;6
200.637,1.30912,true,1,0.00659689,0.180737,0.836953,0;0;0;6;3;3;3;6
203.032,1.30784,true,1,0.00661703,0.60948,0.447102,1;0;0;8;3;2;3;6
203.235,1.30416,true,1,0.00770308,0.23843,0.881976,0;0;0;4;5;4;3;6
203.712,1.29853,true,1,0.00903191,0.169872,0.494866,0;0;0;5;3;5;3;6
204.403,1.2868,true,1,0.0112559,0.299703,0.918536,0;0;0;6;6;2;3;6
205.357,1.28046,true,1,0.0113309,0.314299,0.741661,0;0;0;7;3;4;3;6
206.235,1.27336,true,1,0.00987122,0.0729826,0.630542,0;0;0;5;4;4;4;6
207.001,1.26865,true,1,0.00694777,0.373421,0.495309,0;0;0;6;6;3;3;6
