weight,max_displacement,feasible,rank,crowding_distance,used_CR,used_F,variables
167.239,6.86425,true,1,inf,0.324732,0.136907,5;0;0;0;0;2;0;6;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
167.458,6.80988,true,1,0.0269211,0.447521,0.637872,5;0;0;1;0;0;0;6;0;1;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0
169.589,6.72199,true,1,0.030521,0.342706,0.463355,5;0;0;0;0;2;0;6;0;4;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0
170.409,6.65067,true,1,0.0275784,0.482069,0.364511,5;0;0;0;0;2;0;6;0;2;0;0;3;0;0;0;0;0;0;0;0;0;4;0;0
171.01,6.56917,true,1,0.0198733,0.361099,0.621342,5;0;0;0;0;2;0;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0
171.556,6.54143,true,1,0.0240247,0.305786,0.499405,5;0;0;2;0;2;0;6;0;4;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0
171.774,6.43263,true,1,0.0228859,0.435117,0.579017,5;0;0;0;0;2;0;10;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0
172.758,6.41477,true,1,0.00981549,0.46709,0.686045,5;0;0;0;0;2;0;13;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
172.977,6.38325,true,1,0.0172879,0.674612,0.451471,5;0;0;0;0;2;0;12;0;1;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0
173.96,6.32121,true,1,0.041539,0.608513,0.542137,5;0;0;0;0;2;0;11;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
175.326,6.15457,true,1,0.0426625,0.419859,0.517804,5;0;0;0;0;2;0;11;0;2;0;0;3;0;0;0;0;0;0;0;0;0;4;0;0
176.528,6.08746,true,1,0.0157945,0.623892,0.870728,5;0;0;0;0;2;0;11;0;2;0;0;3;1;0;0;0;0;0;0;0;0;5;0;0
176.911,6.07259,true,1,0.0198755,0.339091,0.632852,5;0;0;4;0;2;0;12;0;1;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0
177.293,5.97545,true,1,0.0214437,0.47932,0.484705,5;0;0;2;0;2;0;11;0;2;0;0;3;0;0;0;0;0;0;0;0;0;4;0;0
178.878,5.95996,true,1,0.0215728,0.345621,0.654034,5;5;0;0;0;2;0;9;0;2;0;0;3;0;0;0;0;0;1;0;0;0;4;0;0
180.626,5.87189,true,1,0.0174562,0.179495,0.45574,5;4;0;0;0;5;0;9;0;2;0;0;4;0;0;0;0;0;0;0;0;0;3;0;0
180.845,5.7999,true,1,0.0151311,0.408264,0.468176,5;5;0;3;0;1;0;9;0;2;0;0;3;0;0;0;0;0;1;0;0;0;4;0;0
181.61,5.78618,true,1,0.0103461,0.42815,0.677918,5;1;0;0;0;2;0;18;0;1;0;0;3;0;1;0;0;0;0;0;0;0;2;0;0
182.812,5.68464,true,1,0.0146125,0.448882,0.640903,5;5;0;0;0;2;0;13;0;2;0;0;3;0;0;0;0;0;1;0;0;0;4;0;0
183.795,5.67907,true,1,0.0220211,0.493948,0.659897,5;2;0;2;0;3;0;16;0;0;1;0;2;0;0;0;0;0;0;0;0;5;0;0;0
184.779,5.5686,true,1,0.0260652,0.301559,0.49921,5;2;0;2;0;3;0;16;0;0;0;0;4;0;0;0;0;0;0;0;0;5;0;0;0
185.161,5.5348,true,1,0.0101232,0.383112,0.534315,5;2;0;2;0;4;0;16;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0
186.801,5.5233,true,1,0.00834388,0.286827,0.133021,5;3;0;1;2;4;0;11;0;2;0;0;3;1;0;1;0;0;0;0;0;4;4;0;0
187.128,5.44141,true,1,0.016051,0.552904,0.497712,5;4;0;2;0;3;0;16;0;2;1;0;2;0;0;0;0;0;0;0;0;0;4;0;0
189.696,5.42321,true,1,0.0255649,0.453985,0.443848,5;2;0;2;0;1;0;16;0;6;1;0;4;0;0;0;1;0;1;0;0;0;2;1;0
190.954,5.31779,true,1,0.0224329,0.334,0.657637,5;0;0;2;0;2;0;18;0;3;0;0;4;4;0;2;0;0;0;0;0;0;6;0;0
192.483,5.31063,true,1,0.00803226,0.65642,0.555292,5;2;1;5;1;3;0;16;0;1;1;0;3;0;1;0;0;0;1;1;0;5;0;0;0
192.866,5.28406,true,1,0.00992369,0.30568,0.403167,5;6;0;0;0;4;0;18;0;0;1;0;5;0;2;0;0;0;0;0;0;5;0;0;0
195.598,5.26141,true,1,0.0120992,0.390671,0.608019,5;0;0;5;0;2;0;14;0;6;2;0;9;0;0;0;1;0;0;0;0;0;4;0;0
195.653,5.22589,true,1,0.00738877,0.46958,0.575393,5;0;0;3;0;5;0;18;0;0;1;0;8;0;1;0;0;0;0;1;0;4;4;0;0
