weight,max_displacement,feasible,rank,crowding_distance,variables
1207.31,3.8982,true,1,inf,0;0;12;0;4;22;0;2;5;0
1216.47,3.8982,true,1,0.00347868,0;1;12;0;4;22;0;2;5;0
1226.75,3.89188,true,1,0.0104981,2;0;12;0;4;23;0;2;5;0
1234.05,3.86615,true,1,0.0214743,0;1;13;1;4;22;0;1;8;0
1238.74,3.81874,true,1,0.0198583,0;0;12;2;4;23;0;3;6;0
1239.88,3.79685,true,1,0.0229663,0;0;16;0;3;22;0;0;11;0
1242.32,3.7376,true,1,0.0267789,0;0;13;0;5;22;0;2;7;0
1253.18,3.70512,true,1,0.0166015,0;0;11;0;5;23;0;4;6;0
1257.04,3.68278,true,1,0.0169278,0;0;12;0;5;23;0;4;5;0
1257.66,3.6459,true,1,0.0137123,0;0;14;0;5;22;0;3;7;0
1271.1,3.6381,true,1,0.00784687,0;0;11;0;7;24;0;4;5;0
1271.69,3.62222,true,1,0.00618789,0;0;14;0;4;23;0;4;7;0
1278.3,3.61821,true,1,0.0133452,0;0;14;0;6;24;0;4;6;1
1279.41,3.57686,true,1,0.0158161,0;0;14;0;6;23;0;3;9;0
1288.87,3.5649,true,1,0.00792511,1;0;14;0;5;22;0;2;11;0
1289.69,3.55172,true,1,0.00409708,0;0;14;0;4;23;0;4;10;0
1291.81,3.55115,true,1,0.0100369,0;0;11;0;6;23;0;6;7;0
1292.14,3.51653,true,1,0.0126671,0;0;15;0;4;22;0;3;11;0
1295.38,3.49845,true,1,0.00917156,0;0;17;0;6;22;0;3;10;1
1304.38,3.47791,true,1,0.0141149,0;0;15;0;4;22;0;3;13;0
1311.66,3.45303,true,1,0.0193911,0;0;16;0;4;22;0;3;14;0
1319.86,3.41334,true,1,0.0168417,0;0;17;1;6;22;0;3;12;0
1322.13,3.39601,true,1,0.0129508,0;0;15;0;9;23;0;4;8;0
1323.7,3.36816,true,1,0.0143069,0;0;19;0;5;22;0;3;11;0
1330.18,3.3473,true,1,0.0120606,0;0;19;0;5;22;0;3;12;0
1347.71,3.32756,true,1,0.00827197,0;0;16;0;9;24;0;7;6;0
1348.28,3.32284,true,1,0.0033231,0;0;13;0;10;23;0;4;12;0
1351.62,3.31689,true,1,0.0100306,0;0;17;0;4;22;0;5;14;0
1353.91,3.28868,true,1,0.0172304,0;0;15;0;8;24;0;6;10;0
1357.74,3.2571,true,1,0.0111783,0;0;16;0;11;23;0;5;8;0
1365.55,3.25232,true,1,0.00365339,0;0;18;0;5;24;0;4;13;0
1369.96,3.24788,true,1,0.00291015,0;0;16;0;6;23;0;5;14;0
1372.09,3.24396,true,1,0.00815453,0;0;19;1;6;23;0;3;16;0
1374.51,3.22011,true,1,0.00856753,0;0;16;0;8;23;0;6;11;1
