weight,max_displacement,feasible,rank,crowding_distance,variables
182.713,1.58572,true,1,inf,0;0;0;2;1;1;3;6
184.835,1.53166,true,1,0.0691826,0;0;0;3;1;1;3;6
186.956,1.49904,true,1,0.0547628,0;0;0;4;1;1;3;6
186.956,1.46125,true,1,0.0569769,0;0;0;3;2;1;3;6
189.077,1.42565,true,1,0.0549937,0;0;0;3;3;1;3;6
191.198,1.3936,true,1,0.0338008,0;0;0;4;3;1;3;6
193.32,1.37216,true,1,0.016448,0;0;0;5;3;1;3;6
193.797,1.36814,true,1,0.0129086,0;0;0;4;3;2;3;6
195.441,1.35087,true,1,0.00696995,0;0;0;5;4;1;3;6
195.918,1.34814,true,1,0.0136959,0;0;0;4;4;2;3;6
197.562,1.33556,true,1,0.0190174,0;0;0;6;4;1;3;6
198.039,1.3257,true,1,0.0128831,0;0;0;5;4;2;3;6
199.684,1.32136,true,1,0.0151625,0;0;0;6;5;1;3;6
200.637,1.30698,true,1,0.0105637,0;0;0;5;4;3;3;6
202.282,1.29633,true,1,0.0147197,0;0;0;6;5;2;3;6
202.759,1.2903,true,1,0.0166973,0;0;0;6;4;3;3;6
204.88,1.27769,true,1,0.0157305,0;0;0;6;5;3;3;6
205.759,1.27322,true,1,0.00195635,0;0;0;6;4;3;4;6
206.235,1.27289,true,1,0.00475334,0;0;0;6;3;4;4;6
207.001,1.26865,true,1,0.0106054,0;0;0;6;6;3;3;6
207.88,1.26035,true,1,0.0106655,0;0;0;7;4;3;4;6
208.357,1.25572,true,1,0.00559462,0;0;0;6;4;4;4;6
209.857,1.25572,true,1,0.0121865,1;0;1;6;4;4;4;6
210.478,1.24244,true,1,0.0125486,0;0;0;7;4;4;4;6
211.833,1.24175,true,1,0.0023653,0;0;0;6;3;5;5;6
212.107,1.24163,true,1,0.00190041,0;0;1;6;4;4;5;6
213.001,1.24089,true,1,0.00496859,0;0;0;6;6;3;5;6
213.001,1.23626,true,1,0.00693322,0;0;0;7;5;3;5;6
213.349,1.23209,true,1,0.00479514,0;0;1;8;4;4;4;6
213.478,1.23052,true,1,0.00166202,0;0;0;6;5;4;5;6
213.553,1.23016,true,1,0.00207381,0;0;0;6;4;6;4;6
213.955,1.22595,true,1,0.00662356,0;0;0;6;4;5;5;6
214.721,1.22065,true,1,0.00659104,0;0;0;8;5;4;4;6
216.478,1.22024,true,1,0.00765734,0;0;0;6;5;4;6;6
216.553,1.21304,true,1,0.00818128,0;0;0;6;4;6;5;6
217.752,1.21111,true,1,0.0119579,0;0;0;6;6;0;2;7
218.674,1.19882,true,1,0.00289827,0;0;0;7;4;6;5;6
219.584,1.1988,true,1,0.000879694,0;0;0;5;4;2;3;7
219.842,1.19806,true,1,0.00186733,0;0;0;9;5;4;5;6
219.917,1.19677,true,1,0.00601662,0;0;0;9;4;6;4;6
220.319,1.19067,true,1,0.0102373,0;0;0;8;5;5;5;6
221.674,1.18559,true,1,0.00707674,0;0;0;7;4;6;6;6
221.705,1.18319,true,1,0.00794314,0;0;0;6;4;2;3;7
223.35,1.17736,true,1,0.0126168,0;0;0;7;5;1;3;7
223.826,1.16934,true,1,0.00874977,0;0;0;6;5;2;3;7
225.053,1.16809,true,1,0.00328578,1;0;0;6;4;3;3;7
225.515,1.16738,true,1,0.00527632,0;0;0;9;4;7;5;6
225.948,1.16231,true,1,0.00544179,0;0;0;8;4;2;3;7
226.425,1.1614,true,1,0.00450281,0;0;0;5;6;3;3;7
226.826,1.15754,true,1,0.00430884,0;0;0;6;5;2;4;7
226.901,1.15631,true,1,0.00155977,0;0;0;6;4;4;3;7
227.175,1.15595,true,1,0.00280716,1;0;0;7;4;3;3;7
227.303,1.15312,true,1,0.00341917,0;0;0;6;4;3;4;7
228.069,1.14852,true,1,0.00675472,0;0;0;8;5;2;3;7
228.546,1.14536,true,1,0.0035279,0;0;0;6;6;3;3;7
228.546,1.14276,true,1,0.00331121,0;0;0;7;5;3;3;7
229.425,1.14067,true,1,0.00323288,0;0;0;7;4;3;4;7
230.175,1.14039,true,1,0.00475128,1;0;0;6;5;3;4;7
231.069,1.13599,true,1,0.00828904,0;0;0;7;6;2;4;7
231.546,1.13126,true,1,0.00648304,0;0;0;6;6;3;4;7
231.546,1.12798,true,1,0.00461094,0;0;0;7;5;3;4;7
232.773,1.12685,true,1,0.0029834,0;0;1;6;5;4;4;7
232.788,1.12578,true,1,0.00414014,0;0;0;9;5;3;3;7
233.265,1.12201,true,1,0.00399602,0;0;0;7;6;4;3;7
233.742,1.1218,true,1,0.00385965,0;0;0;7;5;5;3;7
234.144,1.1181,true,1,0.00619486,0;0;0;6;6;4;4;7
234.144,1.11407,true,1,0.00436578,0;0;0;7;5;4;4;7
235.023,1.11352,true,1,0.00440527,0;0;0;7;4;4;5;7
235.788,1.11055,true,1,0.00385826,0;0;0;9;5;3;4;7
236.538,1.11055,true,1,0.0031617,1;0;0;9;5;3;4;7
236.667,1.10758,true,1,0.00252194,0;0;0;8;5;3;5;7
236.742,1.10746,true,1,0.00444625,0;0;0;6;6;5;4;7
237.492,1.10281,true,1,0.00628252,0;0;1;7;5;5;4;7
237.621,1.1003,true,1,0.00773985,0;0;0;7;4;5;5;7
238.863,1.09441,true,1,0.0069232,0;0;0;7;6;5;4;7
239.34,1.09351,true,1,0.00437749,0;0;0;7;5;6;4;7
239.742,1.08981,true,1,0.00455358,0;0;0;8;4;5;5;7
240.492,1.08907,true,1,0.0015186,1;0;0;7;5;5;5;7
240.508,1.08889,true,1,0.00514343,0;0;0;8;7;4;4;7
241.387,1.08346,true,1,0.00992599,0;0;0;9;5;4;5;7
242.613,1.07862,true,1,0.00639741,1;0;0;8;5;5;5;7
243.219,1.07754,true,1,0.00392436,0;0;0;7;4;6;6;7
243.583,1.07477,true,1,0.00625923,0;0;0;9;5;6;4;7
243.985,1.07025,true,1,0.00448206,0;0;0;9;5;5;5;7
244.461,1.07003,true,1,0.00183483,0;0;0;9;4;6;5;7
244.938,1.06917,true,1,0.0031407,0;0;0;8;4;7;5;7
245.34,1.06709,true,1,0.00445869,0;0;0;7;5;6;6;7
246.137,1.06493,true,1,0.00656342,0;0;0;7;7;1;2;8
246.583,1.06008,true,1,0.00792432,0;0;0;8;6;6;5;7
247.461,1.05622,true,1,0.00527065,0;0;0;8;5;6;6;7
248.227,1.0554,true,1,0.00452603,0;0;0;10;6;5;5;7
249.106,1.05253,true,1,0.00798716,0;0;0;10;5;5;6;7
249.614,1.04669,true,1,0.0057386,0;0;0;7;6;2;3;8
250.059,1.04622,true,1,0.00337693,0;0;0;8;5;7;6;7
250.969,1.04413,true,1,0.00383086,0;0;0;6;5;3;4;8
251.302,1.04288,true,1,0.00552563,0;0;0;10;5;7;5;7
251.735,1.03783,true,1,0.00508413,0;0;0;8;6;2;3;8
252.181,1.03733,true,1,0.00246672,0;0;0;9;5;7;6;7
252.689,1.0359,true,1,0.00300877,0;0;0;7;5;4;3;8
253.09,1.03462,true,1,0.00231315,0;0;0;6;6;3;4;8
253.825,1.03445,true,1,0.00192489,0;0;0;9;7;6;6;7
254.333,1.03384,true,1,0.00274032,0;0;0;6;8;3;3;8
254.81,1.0322,true,1,0.0060806,0;0;0;9;4;4;3;8
254.81,1.02637,true,1,0.00760391,0;0;0;7;6;4;3;8
255.212,1.02258,true,1,0.00514414,0;0;0;7;6;3;4;8
255.689,1.02074,true,1,0.00415882,0;0;0;7;5;4;4;8
256.454,1.0188,true,1,0.00950542,0;0;0;8;7;3;3;8
257.81,1.01107,true,1,0.00992619,0;0;0;8;5;4;4;8
259.439,1.00981,true,1,0.00906601,1;0;0;7;5;4;5;8
259.931,1.00198,true,1,0.00987165,0;0;0;8;6;4;4;8
261.287,0.999249,true,1,0.00805835,0;0;0;7;5;5;5;8
262.052,0.994245,true,1,0.00604416,0;0;0;9;6;4;4;8
263.279,0.992831,true,1,0.00390391,0;0;1;8;6;5;4;8
263.408,0.990761,true,1,0.00244912,0;0;0;7;6;5;5;8
263.885,0.990423,true,1,0.00203601,0;0;0;7;5;6;5;8
264.158,0.989118,true,1,0.00218793,1;0;0;8;5;5;5;8
264.174,0.987907,true,1,0.00197351,0;0;0;10;6;4;4;8
264.651,0.987185,true,1,0.00327174,0;0;0;10;5;5;4;8
266.439,0.986806,true,1,0.00391552,0;0;0;6;6;1;3;9
266.552,0.984527,true,1,0.00464807,0;0;2;8;7;4;5;8
266.772,0.981051,true,1,0.00324614,0;0;0;8;8;5;4;8
266.885,0.980653,true,1,0.00371877,0;0;0;8;4;6;6;8
267.174,0.976644,true,1,0.00556626,0;0;0;9;7;4;5;8
267.651,0.974295,true,1,0.00525711,0;0;0;8;7;5;5;8
269.006,0.97225,true,1,0.0034791,0;0;0;7;6;6;6;8
269.408,0.972178,true,1,0.000779084,0;0;0;8;5;5;7;8
269.483,0.971897,true,1,0.00700757,0;0;0;7;5;7;6;8
270.651,0.964578,true,1,0.00880885,0;0;0;10;5;5;6;8
271.604,0.963155,true,1,0.00457808,0;0;0;9;4;7;6;8
272.37,0.960931,true,1,0.00442014,0;0;0;8;8;6;5;8
272.772,0.958919,true,1,0.00414273,0;0;0;11;5;5;6;8
272.847,0.956064,true,1,0.00398461,0;0;0;9;6;7;5;8
273.249,0.954264,true,1,0.00359283,0;0;0;10;5;6;6;8
274.604,0.953794,true,1,0.00281539,0;0;0;9;4;7;7;8
274.877,0.952851,true,1,0.0046584,0;0;1;9;5;6;7;8
275.401,0.9487,true,1,0.00719184,0;0;0;9;6;2;3;9
276.249,0.945191,true,1,0.00529808,0;0;0;9;6;6;7;8
276.725,0.943513,true,1,0.0034343,0;0;0;9;5;7;7;8
277.893,0.94297,true,1,0.00457538,0;0;0;10;7;5;7;8
277.968,0.939177,true,1,0.0038714,0;0;0;9;7;7;6;8
278.401,0.938512,true,1,0.00430005,0;0;0;8;7;2;4;9
278.878,0.934727,true,1,0.00493566,0;0;0;8;6;3;4;9
280.233,0.934549,true,1,0.00424418,0;0;0;7;5;4;5;9
280.522,0.93142,true,1,0.00617781,0;0;0;9;7;2;4;9
280.999,0.92737,true,1,0.00542798,0;0;0;8;7;3;4;9
281.476,0.92552,true,1,0.00415355,0;0;0;8;6;4;4;9
282.718,0.924293,true,1,0.00586083,0;0;0;9;7;4;3;9
283.12,0.920043,true,1,0.00539932,0;0;0;9;7;3;4;9
283.999,0.918907,true,1,0.00464604,0;0;0;9;6;3;5;9
284.476,0.915776,true,1,0.00476309,0;0;0;8;6;4;5;9
285.242,0.914319,true,1,0.00497899,0;0;0;9;8;3;4;9
285.718,0.910899,true,1,0.00611941,0;0;0;9;7;4;4;9
286.597,0.908075,true,1,0.00436844,0;0;0;9;6;4;5;9
287.074,0.907004,true,1,0.00335787,0;0;0;8;6;5;5;9
287.84,0.905373,true,1,0.00609359,0;0;0;9;8;4;4;9
288.718,0.901215,true,1,0.00593728,0;0;0;9;7;4;5;9
289.195,0.89912,true,1,0.00712891,0;0;0;9;6;5;5;9
291.718,0.894163,true,1,0.00841996,0;0;0;10;6;4;6;9
291.793,0.891593,true,1,0.00469851,0;0;0;9;6;6;5;9
292.961,0.889662,true,1,0.00495862,0;0;0;11;7;4;5;9
293.438,0.887327,true,1,0.00450476,0;0;0;9;8;5;5;9
293.915,0.885001,true,1,0.00327543,0;0;0;10;6;6;5;9
294.317,0.884207,true,1,0.00215144,0;0;0;9;7;5;6;9
295.195,0.883974,true,1,0.001866,0;0;0;9;6;5;7;9
295.27,0.883088,true,1,0.00284323,0;0;0;9;5;7;6;9
296.469,0.882008,true,1,0.00478111,0;0;0;8;8;1;3;10
296.513,0.878476,true,1,0.00586133,0;0;0;10;6;7;5;9
297.793,0.876065,true,1,0.00725344,0;0;0;10;5;6;7;9
299.067,0.872451,true,1,0.0082653,0;0;0;9;7;2;3;10
299.915,0.868053,true,1,0.00543624,0;0;0;10;6;6;7;9
300.391,0.867079,true,1,0.00320411,0;0;0;9;6;7;7;9
301.559,0.866142,true,1,0.00222827,0;0;0;10;8;5;7;9
301.665,0.865938,true,1,0.00160933,0;0;0;8;8;3;3;10
301.907,0.864488,true,1,0.00332327,1;0;0;10;8;6;6;9
302.036,0.862017,true,1,0.00309109,0;0;0;10;7;6;7;9
302.513,0.861218,true,1,0.00230247,0;0;0;9;7;7;7;9
302.989,0.860312,true,1,0.00422239,0;0;0;9;6;8;7;9
304.157,0.856332,true,1,0.00398296,0;0;0;11;7;6;7;9
305.111,0.854619,true,1,0.0019421,0;0;0;9;7;8;7;9
305.544,0.854418,true,1,0.000689283,0;0;0;8;7;3;5;10
305.588,0.854386,true,1,0.00165694,0;0;0;9;6;9;7;9
306.02,0.852887,true,1,0.00390004,0;0;0;8;6;4;5;10
306.353,0.850264,true,1,0.00393326,0;0;0;11;7;8;6;9
306.786,0.848721,true,1,0.0033835,0;0;0;9;8;3;4;10
307.263,0.847044,true,1,0.00365961,0;0;0;9;7;4;4;10
308.142,0.845778,true,1,0.00314646,0;0;0;8;7;4;5;10
309.279,0.845749,true,1,0.00488921,0;0;0;11;8;6;8;9
309.384,0.841021,true,1,0.00517424,0;0;0;10;7;4;4;10
310.232,0.84019,true,1,0.00387945,0;0;0;11;6;8;8;9
310.74,0.837783,true,1,0.00515452,0;0;0;9;6;5;5;10
312.353,0.836353,true,1,0.00366525,0;0;0;10;8;8;8;9
312.786,0.835836,true,1,0.0028606,0;0;0;9;8;3;6;10
313.263,0.833835,true,1,0.00366037,0;0;0;8;8;4;6;10
313.263,0.831616,true,1,0.00190546,0;0;0;9;7;4;6;10
313.338,0.831386,true,1,0.00089936,0;0;0;9;6;6;5;10
313.611,0.830915,true,1,0.0014246,1;0;0;9;7;5;5;10
313.74,0.830058,true,1,0.00418844,0;0;0;9;6;5;6;10
314.506,0.826593,true,1,0.0058504,0;0;0;10;8;4;5;10
315.459,0.824704,true,1,0.00367495,0;0;0;9;7;6;5;10
315.861,0.823629,true,1,0.00582561,0;0;0;10;6;5;6;10
317.104,0.819274,true,1,0.00677129,0;0;0;10;8;5;5;10
318.861,0.817448,true,1,0.00414692,0;0;0;9;7;5;7;10
319.209,0.816392,true,1,0.00557325,1;0;0;9;7;6;6;10
320.104,0.811773,true,1,0.00625243,0;0;0;10;8;5;6;10
321.459,0.809464,true,1,0.00752656,0;0;0;10;6;6;7;10
323.104,0.805865,true,1,0.00613383,0;0;0;10;8;5;7;10
323.179,0.803729,true,1,0.00298301,0;0;0;10;7;7;6;10
324.057,0.803247,true,1,0.00465906,0;0;0;9;7;7;7;10
325.225,0.800448,true,1,0.00398271,0;0;0;11;8;5;7;10
