weight,max_displacement,feasible,rank,crowding_distance,variables
174.506,6.23451,true,1,inf,5;0;0;0;0;3;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
175.107,6.18477,true,1,0.0207214,5;0;0;0;0;3;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0
175.49,6.1318,true,1,0.0140058,5;1;0;0;0;3;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
176.473,6.12003,true,1,0.0161249,5;0;0;0;0;3;0;15;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
177.512,6.06026,true,1,0.0371037,5;0;0;0;0;3;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;6;0;0
178.44,5.93748,true,1,0.0482969,5;4;0;0;0;3;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
180.407,5.82488,true,1,0.0279583,5;1;0;5;0;3;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
182.593,5.81775,true,1,0.00453106,5;6;0;0;0;4;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;2
182.648,5.81594,true,1,0.00880582,5;0;0;0;0;2;0;17;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;0;0
183.031,5.77423,true,1,0.00968247,5;1;0;1;0;4;0;17;0;0;0;0;1;0;0;0;0;0;0;0;3;4;0;0;0
183.577,5.72608,true,1,0.0162113,5;0;0;8;0;3;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0
184.615,5.69068,true,1,0.0205949,5;0;0;0;0;2;0;17;0;2;0;0;4;0;0;0;0;0;0;0;0;0;8;0;0
185.981,5.60546,true,1,0.0126035,5;0;0;8;0;3;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;4;3;0;0
187.292,5.58345,true,1,0.0198539,5;0;0;8;0;4;0;17;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
187.566,5.51134,true,1,0.0167727,5;6;0;0;0;2;0;17;0;0;0;0;3;0;0;0;0;0;0;0;0;0;8;0;0
188.549,5.50047,true,1,0.00457531,5;0;0;3;0;7;0;17;0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0
189.259,5.49486,true,1,0.00806556,5;6;0;8;0;4;0;13;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
189.752,5.46596,true,1,0.0155958,5;0;0;3;0;7;0;17;0;0;0;0;2;0;0;2;0;0;0;0;0;0;8;0;0
190.242,5.41918,true,1,0.0119801,5;1;0;5;0;3;0;23;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
191.719,5.41591,true,1,0.00477119,5;0;0;1;1;6;0;17;0;0;0;0;6;0;0;0;0;1;0;0;0;4;5;0;0
191.937,5.40533,true,1,0.00635092,5;0;0;1;0;6;0;17;0;0;0;0;6;0;0;2;0;1;0;0;0;4;5;0;0
192.375,5.32929,true,1,0.0259424,5;6;0;0;0;2;0;17;0;0;0;0;3;8;0;0;0;0;0;0;0;0;8;0;0
193.085,5.19671,true,1,0.0280061,5;5;0;0;0;5;0;17;0;0;0;0;6;2;0;0;0;0;0;0;0;0;7;0;0
194.669,5.12233,true,1,0.0349601,5;6;0;3;1;4;0;17;0;0;0;0;3;2;0;0;0;0;0;0;0;0;8;0;0
198.057,5.03787,true,1,0.0251738,5;4;0;1;1;6;0;17;0;0;0;0;6;0;4;0;0;1;0;0;0;4;5;0;0
198.276,5.01365,true,1,0.00929123,5;6;0;3;1;4;0;17;0;0;0;0;3;8;0;0;0;0;0;0;0;0;8;0;0
199.041,4.99544,true,1,0.0141512,5;5;0;1;1;6;0;17;0;0;0;0;6;0;4;0;0;1;0;0;0;4;5;0;0
200.462,4.9536,true,1,0.0115745,5;4;0;0;0;5;0;20;0;0;0;0;6;2;4;1;0;0;0;0;3;0;8;0;0
201.664,4.9519,true,1,0.00862656,5;4;0;0;0;5;0;20;0;0;0;0;6;2;4;1;0;0;0;0;3;0;8;0;2
203.302,4.92081,true,1,0.00678996,5;0;0;8;2;7;0;19;0;2;0;0;6;0;0;0;0;0;0;0;0;0;8;0;0
203.302,4.89126,true,1,0.0244674,5;5;0;1;0;7;0;25;0;0;0;0;6;0;0;2;0;1;0;0;0;0;5;0;0
205.269,4.8049,true,1,0.0270781,5;7;0;10;0;4;0;19;0;0;0;0;6;0;0;0;0;0;0;0;0;0;8;0;0
206.031,4.76596,true,1,0.00960988,4;4;0;13;0;2;0;25;0;0;0;0;4;8;0;0;0;0;0;0;0;0;8;0;0
